time,reading_1
1,10.75995518
2,10.47196568
3,10.35481337
4,10.45955094
5,10.73882469
6,10.83886723
7,10.13414242
8,10.74612296
9,10.92553029
10,10.95335031
11,10.90411106
12,10.49470481
13,10.77881358
14,10.28874455
15,10.70315027
16,10.6184931
17,10.42298808
18,10.68735266
19,10.14904675
20,10.36935436
21,10.18248151
22,10.36529257
23,10.52471351
24,10.77290452
25,10.27675552
26,10.32553138
27,10.63937382
28,10.53286942
29,10.73984299
30,10.11096218
31,10.7869452
32,10.30941453
33,10.25492128
34,10.98082821
35,10.42252541
36,10.88758603
37,10.52167172
38,10.58190104
39,10.77687398
40,10.0957216
41,10.65767388
42,10.92224952
43,10.57234804
44,10.97874833
45,10.90686588
46,10.769213
47,10.45874473
48,10.77731872
49,10.85500364
50,10.72064764
51,10.50395712
52,10.91888282
53,10.36505113
54,10.89323741
55,10.50669534
56,11.09536064
57,10.43094211
58,10.77260689
59,10.66324558
60,10.91286435
61,11.32861
62,10.58203091
63,10.49599723
64,10.63665569
65,10.52042007
66,10.51840047
67,10.55937823
68,10.41523903
69,11.24243459
70,10.52959755
71,10.83081761
72,10.61625091
73,10.9153121
74,11.23765474
75,10.90214866
76,11.31535437
77,11.00085756
78,10.63323634
79,10.778944
80,11.72416517
81,11.75609696
82,11.51829929
83,11.59520586
84,11.3903769
85,10.84767113
86,11.1201115
87,11.35843272
88,11.51779743
89,11.5730487
90,11.5599221
91,11.65709819
92,11.47565976
93,11.72194524
94,11.2900261
95,11.26293614
96,11.80752672
97,11.76706382
98,11.37226612
99,11.72379207
100,11.46627555
101,11.78257876
102,11.65952112
103,11.31561377
104,11.78625925
105,11.78961709
106,11.3074085
107,11.26124455
108,11.60760865
109,11.21211437
110,11.78568484
111,11.75786574
112,11.23846345
113,11.58947882
114,11.76551575
115,11.87530026
116,11.62842695
117,11.49640001
118,11.11147384
119,11.42491211
120,11.12487571
121,11.16639558
122,11.34486293
123,11.7971303
124,12.25833815
125,11.50126684
126,11.75283313
127,11.95747062
128,12.57953322
129,12.8040641
130,12.84821483
131,12.28536229
132,12.37900232
133,12.92356523
134,12.8516128
135,12.05347773
136,12.13044014
137,12.01000124
138,12.35902829
139,12.51310603
140,12.25786922
141,12.6926002
142,12.47817346
143,12.54760126
144,12.93102555
145,12.92197152
146,12.0712178
147,12.38335083
148,12.21493713
149,12.31213512
150,12.94160716
151,13.32809109
152,13.0064111
153,13.65731893
154,12.95541549
155,13.12490345
156,13.20942831
157,13.31094752
158,13.37269315
159,13.57200709
160,13.51899784
161,13.70901404
162,13.94632811
163,13.4470454
164,13.02079258
165,13.78043979
166,13.15286918
167,13.8136185
168,13.13504627
169,13.29668879
170,13.01022794
171,13.62476433
172,13.90370431
173,13.9428403
174,13.41233788
175,13.57938597
176,13.71922875
177,14.26146646
178,14.47420202
179,14.69065088
180,13.95037854
181,14.37779095
182,14.51647565
183,14.45935065
184,14.32796409
185,14.46777763
186,14.54372551
187,14.40675328
188,14.12941386
189,14.89299216
190,14.94450368
191,14.50431459
192,14.26668039
193,14.44590313
194,14.88508248
195,15.08794692
196,14.25765182
197,15.18713364
198,15.31541425
199,14.97853038
200,15.2761673
201,15.57826746
202,14.87097767
203,15.10376253
204,15.01868705
205,15.10915957
206,15.10563055
207,15.03990138
208,15.32712257
209,15.37058628
210,15.02019478
211,15.65120807
212,15.2766044
213,15.46581931
214,14.9030257
215,15.00228192
216,14.94724513
217,15.35617501
218,15.79690002
219,15.33496663
220,15.34429782
221,15.89093784
222,15.30973988
223,15.3767771
224,15.31333055
225,15.51430881
226,15.06841032
227,15.11126793
228,15.83896066
229,15.65537898
230,15.51115288
231,15.14406961
232,15.76833872
233,15.49321295
234,15.14642658
235,15.70279128
236,15.31728609
237,15.23000665
238,15.26938752
239,15.50461341
240,15.637783
241,15.36687263
242,15.88705653
243,15.82622817
244,15.8097903
245,15.43040856
246,15.71946336
247,15.97977922
248,15.0749059
249,15.50703421
250,15.73017541
251,15.05500087
252,15.87194303
253,15.01162403
254,15.35020944
255,15.61729575
256,15.33725682
257,15.19289279
258,15.38296451
259,15.41413611
260,15.66881231
261,15.04062918
262,15.3551137
263,15.07666662
264,15.80373917
265,15.63783782
266,15.99920857
267,15.8854962
268,15.01544302
269,15.73741916
270,15.74793006
271,15.40371721
272,15.67574932
273,15.74293139
274,15.25247776
275,15.8004486
276,15.50037653
277,15.35910042
278,15.85917611
279,15.51072081
280,15.48070272
281,15.01242072
282,15.71423937
283,15.02965242
284,15.53057375
285,15.51124001
286,15.47289497
287,15.25350696
288,15.23022226
289,15.41646555
290,15.04273015
291,15.52051609
292,15.11450014
293,15.24987283
294,15.06243387
295,15.03359081
296,15.15362144
297,15.22762833
298,14.82171673
299,15.41516582
300,14.40050853
301,14.4446394
302,14.52120584
303,15.08371005
304,14.94280764
305,14.33251738
306,14.44636084
307,14.01499197
308,14.35648291
309,14.46512778
310,14.99819223
311,14.48988826
312,14.30152417
313,14.87497302
314,14.9577062
315,14.12575963
316,14.94974928
317,14.64656442
318,14.39231391
319,14.47396492
320,14.33370007
321,14.66474331
322,14.73486089
323,12.23926967
324,12.00087394
325,14.48170303
326,13.82804855
327,14.05289046
328,13.43313371
329,13.65207366
330,13.38971137
331,13.20392726
332,13.4626455
333,13.87303806
334,13.22898883
335,13.61342961
336,13.02040757
337,13.44594637
338,13.30732427
339,13.44140094
340,13.26649681
341,13.51762186
342,13.68324742
343,13.15037243
344,13.61837291
345,13.49006638
346,13.59292018
347,13.5814238
348,13.2966978
349,12.82455717
350,12.41850747
351,13.24564615
352,13.08039058
353,12.3794393
354,12.19663549
355,12.77166514
356,12.39312251
357,12.0609891
358,12.08542911
359,12.11755007
360,12.52174442
361,12.86983797
362,12.61542249
363,12.98852396
364,12.16685784
365,12.98418726
366,12.48296969
367,12.10966908
368,12.92819875
369,12.9743008
370,12.33341873
371,12.69215008
372,12.00964963
373,12.17864912
374,12.20506419
375,11.89114175
376,11.90013872
377,12.10816354
378,11.48780641
379,11.59895817
380,11.76899282
381,11.69817608
382,11.45935104
383,11.52518066
384,11.27547812
385,11.44683279
386,11.75444509
387,11.73467224
